v,s,insum,serr,vmod,smod,gaussian fit params,,
,,,,-964.9799,4.85E-05,,,
,,,,-963.9799,4.94E-05,,,
,,,,-962.9799,5.02E-05,,,
,,,,-961.9799,5.11E-05,,,
,,,,-960.9799,5.20E-05,,,
,,,,-959.9799,5.29E-05,,,
,,,,-958.9799,5.38E-05,,,
,,,,-957.9799,5.47E-05,,,
,,,,-956.9799,5.56E-05,,,
,,,,-955.9799,5.66E-05,,,
,,,,-954.9799,5.75E-05,,,
,,,,-953.9799,5.85E-05,,,
,,,,-952.9799,5.95E-05,,,
,,,,-951.9799,6.05E-05,,,
,,,,-950.9799,6.15E-05,,,
,,,,-949.9799,6.26E-05,,,
,,,,-948.9799,6.36E-05,,,
,,,,-947.9799,6.47E-05,,,
,,,,-946.9799,6.58E-05,,,
,,,,-945.9799,6.69E-05,,,
,,,,-944.9799,6.80E-05,,,
,,,,-943.9799,6.92E-05,,,
,,,,-942.9799,7.04E-05,,,
,,,,-941.9799,7.15E-05,,,
,,,,-940.9799,7.27E-05,,,
,,,,-939.9799,7.39E-05,,,
,,,,-938.9799,7.52E-05,,,
,,,,-937.9799,7.64E-05,,,
,,,,-936.9799,7.77E-05,,,
,,,,-935.9799,7.90E-05,,,
,,,,-934.9799,8.03E-05,,,
,,,,-933.9799,8.17E-05,,,
,,,,-932.9799,8.30E-05,,,
,,,,-931.9799,8.44E-05,,,
,,,,-930.9799,8.58E-05,,,
,,,,-929.9799,8.72E-05,,,
,,,,-928.9799,8.86E-05,,,
,,,,-927.9799,9.01E-05,,,
,,,,-926.9799,9.16E-05,,,
,,,,-925.9799,9.31E-05,,,
,,,,-924.9799,9.46E-05,,,
,,,,-923.9799,9.62E-05,,,
,,,,-922.9799,9.77E-05,,,
,,,,-921.9799,9.93E-05,,,
,,,,-920.9799,0.0001,,,
,,,,-919.9799,0.0001,,,
,,,,-918.9799,0.0001,,,
,,,,-917.9799,0.00011,,,
,,,,-916.9799,0.00011,,,
,,,,-915.9799,0.00011,,,
,,,,-914.9799,0.00011,,,
,,,,-913.9799,0.00011,,,
,,,,-912.9799,0.00011,,,
,,,,-911.9799,0.00012,,,
,,,,-910.9799,0.00012,,,
,,,,-909.9799,0.00012,,,
,,,,-908.9799,0.00012,,,
,,,,-907.9799,0.00012,,,
,,,,-906.9799,0.00013,,,
,,,,-905.9799,0.00013,,,
,,,,-904.9799,0.00013,,,
,,,,-903.9799,0.00013,,,
,,,,-902.9799,0.00013,,,
,,,,-901.9799,0.00014,,,
,,,,-900.9799,0.00014,,,
,,,,-899.9799,0.00014,,,
,,,,-898.9799,0.00014,,,
,,,,-897.9799,0.00015,,,
,,,,-896.9799,0.00015,,,
,,,,-895.9799,0.00015,,,
,,,,-894.9799,0.00015,,,
,,,,-893.9799,0.00016,,,
,,,,-892.9799,0.00016,,,
,,,,-891.9799,0.00016,,,
,,,,-890.9799,0.00016,,,
,,,,-889.9799,0.00017,,,
,,,,-888.9799,0.00017,,,
,,,,-887.9799,0.00017,,,
,,,,-886.9799,0.00017,,,
,,,,-885.9799,0.00018,,,
,,,,-884.9799,0.00018,,,
,,,,-883.9799,0.00018,,,
,,,,-882.9799,0.00018,,,
,,,,-881.9799,0.00019,,,
,,,,-880.9799,0.00019,,,
,,,,-879.9799,0.00019,,,
,,,,-878.9799,0.0002,,,
,,,,-877.9799,0.0002,,,
,,,,-876.9799,0.0002,,,
,,,,-875.9799,0.00021,,,
,,,,-874.9799,0.00021,,,
,,,,-873.9799,0.00021,,,
,,,,-872.9799,0.00021,,,
,,,,-871.9799,0.00022,,,
,,,,-870.9799,0.00022,,,
,,,,-869.9799,0.00022,,,
,,,,-868.9799,0.00023,,,
,,,,-867.9799,0.00023,,,
,,,,-866.9799,0.00024,,,
,,,,-865.9799,0.00024,,,
,,,,-864.9799,0.00024,,,
,,,,-863.9799,0.00025,,,
,,,,-862.9799,0.00025,,,
,,,,-861.9799,0.00025,,,
,,,,-860.9799,0.00026,,,
,,,,-859.9799,0.00026,,,
,,,,-858.9799,0.00027,,,
,,,,-857.9799,0.00027,,,
,,,,-856.9799,0.00027,,,
,,,,-855.9799,0.00028,,,
,,,,-854.9799,0.00028,,,
,,,,-853.9799,0.00029,,,
,,,,-852.9799,0.00029,,,
,,,,-851.9799,0.00029,,,
,,,,-850.9799,0.0003,,,
,,,,-849.9799,0.0003,,,
,,,,-848.9799,0.00031,,,
,,,,-847.9799,0.00031,,,
,,,,-846.9799,0.00032,,,
,,,,-845.9799,0.00032,,,
,,,,-844.9799,0.00033,,,
,,,,-843.9799,0.00033,,,
,,,,-842.9799,0.00034,,,
,,,,-841.9799,0.00034,,,
,,,,-840.9799,0.00035,,,
,,,,-839.9799,0.00035,,,
,,,,-838.9799,0.00036,,,
,,,,-837.9799,0.00036,,,
,,,,-836.9799,0.00037,,,
,,,,-835.9799,0.00037,,,
,,,,-834.9799,0.00038,,,
,,,,-833.9799,0.00038,,,
,,,,-832.9799,0.00039,,,
,,,,-831.9799,0.00039,,,
,,,,-830.9799,0.0004,,,
,,,,-829.9799,0.00041,,,
,,,,-828.9799,0.00041,,,
,,,,-827.9799,0.00042,,,
,,,,-826.9799,0.00042,,,
,,,,-825.9799,0.00043,,,
,,,,-824.9799,0.00044,,,
,,,,-823.9799,0.00044,,,
,,,,-822.9799,0.00045,,,
,,,,-821.9799,0.00045,,,
,,,,-820.9799,0.00046,,,
,,,,-819.9799,0.00047,,,
,,,,-818.9799,0.00047,,,
,,,,-817.9799,0.00048,,,
,,,,-816.9799,0.00049,,,
,,,,-815.9799,0.00049,,,
,,,,-814.9799,0.0005,,,
,,,,-813.9799,0.00051,,,
,,,,-812.9799,0.00052,,,
,,,,-811.9799,0.00052,,,
,,,,-810.9799,0.00053,,,
,,,,-809.9799,0.00054,,,
,,,,-808.9799,0.00055,,,
,,,,-807.9799,0.00055,,,
,,,,-806.9799,0.00056,,,
,,,,-805.9799,0.00057,,,
,,,,-804.9799,0.00058,,,
,,,,-803.9799,0.00058,,,
,,,,-802.9799,0.00059,,,
,,,,-801.9799,0.0006,,,
,,,,-800.9799,0.00061,,,
,,,,-799.9799,0.00062,,,
,,,,-798.9799,0.00063,,,
,,,,-797.9799,0.00063,,,
,,,,-796.9799,0.00064,,,
,,,,-795.9799,0.00065,,,
,,,,-794.9799,0.00066,,,
,,,,-793.9799,0.00067,,,
,,,,-792.9799,0.00068,,,
,,,,-791.9799,0.00069,,,
,,,,-790.9799,0.0007,,,
,,,,-789.9799,0.00071,,,
,,,,-788.9799,0.00072,,,
,,,,-787.9799,0.00073,,,
,,,,-786.9799,0.00074,,,
,,,,-785.9799,0.00075,,,
,,,,-784.9799,0.00076,,,
,,,,-783.9799,0.00077,,,
,,,,-782.9799,0.00078,,,
,,,,-781.9799,0.00079,,,
,,,,-780.9799,0.0008,,,
,,,,-779.9799,0.00081,,,
,,,,-778.9799,0.00082,,,
,,,,-777.9799,0.00083,,,
,,,,-776.9799,0.00084,,,
,,,,-775.9799,0.00085,,,
,,,,-774.9799,0.00086,,,
,,,,-773.9799,0.00088,,,
,,,,-772.9799,0.00089,,,
,,,,-771.9799,0.0009,,,
,,,,-770.9799,0.00091,,,
,,,,-769.9799,0.00092,,,
,,,,-768.9799,0.00094,,,
,,,,-767.9799,0.00095,,,
,,,,-766.9799,0.00096,,,
,,,,-765.9799,0.00097,,,
,,,,-764.9799,0.00099,,,
,,,,-763.9799,0.001,,,
,,,,-762.9799,0.00101,,,
,,,,-761.9799,0.00103,,,
,,,,-760.9799,0.00104,,,
,,,,-759.9799,0.00105,,,
,,,,-758.9799,0.00107,,,
,,,,-757.9799,0.00108,,,
,,,,-756.9799,0.00109,,,
,,,,-755.9799,0.00111,,,
,,,,-754.9799,0.00112,,,
,,,,-753.9799,0.00114,,,
,,,,-752.9799,0.00115,,,
,,,,-751.9799,0.00117,,,
,,,,-750.9799,0.00118,,,
,,,,-749.9799,0.0012,,,
,,,,-748.9799,0.00121,,,
,,,,-747.9799,0.00123,,,
,,,,-746.9799,0.00124,,,
,,,,-745.9799,0.00126,,,
,,,,-744.9799,0.00127,,,
,,,,-743.9799,0.00129,,,
,,,,-742.9799,0.00131,,,
,,,,-741.9799,0.00132,,,
,,,,-740.9799,0.00134,,,
,,,,-739.9799,0.00136,,,
,,,,-738.9799,0.00137,,,
,,,,-737.9799,0.00139,,,
,,,,-736.9799,0.00141,,,
,,,,-735.9799,0.00143,,,
,,,,-734.9799,0.00144,,,
,,,,-733.9799,0.00146,,,
,,,,-732.9799,0.00148,,,
,,,,-731.9799,0.0015,,,
,,,,-730.9799,0.00152,,,
,,,,-729.9799,0.00154,,,
,,,,-728.9799,0.00156,,,
,,,,-727.9799,0.00157,,,
,,,,-726.9799,0.00159,,,
,,,,-725.9799,0.00161,,,
,,,,-724.9799,0.00163,,,
,,,,-723.9799,0.00165,,,
,,,,-722.9799,0.00167,,,
,,,,-721.9799,0.00169,,,
,,,,-720.9799,0.00171,,,
,,,,-719.9799,0.00174,,,
,,,,-718.9799,0.00176,,,
,,,,-717.9799,0.00178,,,
,,,,-716.9799,0.0018,,,
,,,,-715.9799,0.00182,,,
,,,,-714.9799,0.00184,,,
,,,,-713.9799,0.00187,,,
,,,,-712.9799,0.00189,,,
,,,,-711.9799,0.00191,,,
,,,,-710.9799,0.00193,,,
,,,,-709.9799,0.00196,,,
,,,,-708.9799,0.00198,,,
,,,,-707.9799,0.002,,,
,,,,-706.9799,0.00203,,,
,,,,-705.9799,0.00205,,,
,,,,-704.9799,0.00208,,,
,,,,-703.9799,0.0021,,,
,,,,-702.9799,0.00213,,,
,,,,-701.9799,0.00215,,,
,,,,-700.9799,0.00218,,,
,,,,-699.9799,0.0022,,,
,,,,-698.9799,0.00223,,,
,,,,-697.9799,0.00225,,,
,,,,-696.9799,0.00228,,,
,,,,-695.9799,0.00231,,,
,,,,-694.9799,0.00233,,,
,,,,-693.9799,0.00236,,,
,,,,-692.9799,0.00239,,,
,,,,-691.9799,0.00242,,,
,,,,-690.9799,0.00244,,,
,,,,-689.9799,0.00247,,,
,,,,-688.9799,0.0025,,,
,,,,-687.9799,0.00253,,,
,,,,-686.9799,0.00256,,,
,,,,-685.9799,0.00259,,,
,,,,-684.9799,0.00262,,,
,,,,-683.9799,0.00265,,,
,,,,-682.9799,0.00268,,,
,,,,-681.9799,0.00271,,,
,,,,-680.9799,0.00274,,,
,,,,-679.9799,0.00277,,,
,,,,-678.9799,0.0028,,,
,,,,-677.9799,0.00283,,,
,,,,-676.9799,0.00287,,,
,,,,-675.9799,0.0029,,,
,,,,-674.9799,0.00293,,,
,,,,-673.9799,0.00296,,,
,,,,-672.9799,0.003,,,
,,,,-671.9799,0.00303,,,
,,,,-670.9799,0.00306,,,
,,,,-669.9799,0.0031,,,
,,,,-668.9799,0.00313,,,
,,,,-667.9799,0.00317,,,
,,,,-666.9799,0.0032,,,
,,,,-665.9799,0.00324,,,
,,,,-664.9799,0.00327,,,
,,,,-663.9799,0.00331,,,
,,,,-662.9799,0.00335,,,
,,,,-661.9799,0.00338,,,
,,,,-660.9799,0.00342,,,
,,,,-659.9799,0.00346,,,
,,,,-658.9799,0.0035,,,
,,,,-657.9799,0.00353,,,
,,,,-656.9799,0.00357,,,
,,,,-655.9799,0.00361,,,
,,,,-654.9799,0.00365,,,
,,,,-653.9799,0.00369,,,
,,,,-652.9799,0.00373,,,
